Input Word,Target Transliteration,Malayalam Meaning
పరమాత్ముడు,പരമാത്മുഡു,പരമമായത്
పురుషులిద్దరినీ,പുരുഷുലിദ്ദരിനീ,രണ്ടും
సమానంగా,സമാനംഗാ,ഒരുപോലെ
సృష్టిస్తూ,സൃഷ്ടിസ്തൂ,സൃഷ്ടിക്കുന്നു
పవిత్రమయిన,പവിത്രമയിന,പവിത്രമായത്
సృష్టి,സൃഷ്ടി,സൃഷ്ടി
కార్యక్రమాన్ని,കാര്യക്രമാന്നി,കാരപരിപാടി
నిర్వహించే,നിര്വഹിംചേ,ചുറ്റിനടന്നത്
శక్తిని,ശക്തിനി,ശക്തി
స్తీలో,സ്തീലോ,സ്റ്റൈലിൽ
నిక్షిప్తం,നിക്ഷിപ്തം,ശേഖരണം
చేశాడు,ചേശാഡു,അതു ചെയ്തു
మగవాడు,മഗവാഡു,പുരുഷന്
స్వార్ధంతో,സ്വാര്ധംതോ,സ്വാർത്ഥതയോടെ
స్ర్తీలోని,സ്ര്തീലോനി,Stti- ൽ
అన్ని,അന്നി,എല്ലാം
శక్తులనూ,ശക്തുലനൂ,സേന
అణగగొట్టి,അണഗഗൊട്ടി,അടിച്ചമർത്തപ്പെട്ടു
ఆమెను,ആമെനു,അവള്
పిల్లల్ని,പില്ലല്നി,കുട്ടികൾ
కనే,കനേ,കെയ്
"యంఠ్రంలా,","യംഠ്രംലാ,","കട്ടിൽ മുഖത്ത് ഉണ്ട്,"
జీరం,ജീരം,ജീരാം
లేని,ലേനി,കൂടാതെ
పనిమనిషిలా;,പനിമനിഷിലാ;,ഒരു വേലക്കാരി;
తన,തന,അവന്റെ
'అవసరానికి','അവസരാനികി','ആവശ്യത്തിനായി'
సృష్టించబడిన,സൃഷ്ടിംചബഡിന,സൃഷ്ടിച്ചു
ఒక,ഒക,ഒരു
వస్తువులా,വസ്തുവുലാ,ഒബ്ജക്റ്റ് പോലെ
మలచుకున్నాడు,മലചുകുന്നാഡു,പിടിച്ചു
కాలం,കാലം,കാലഘട്ടം
మారింది,മാരിംദി,മാറി
స్ర్తీ,സ്ര്തീ,സ്റ്റർട്ടി
శక్తికి,ശക്തികി,അധികാരത്തിലേക്ക്
గుర్తింపు,ഗുര്തിംപു,തിരിച്ചറിയല്
వచ్చే,വച്ചേ,വരിക
రోజులు,രോജുലു,ദിവസങ്ങൾ
వచ్చాయి:,വച്ചായി:,എത്തിയിരിക്കുന്നു:
అర్ధ,അര്ധ,പകുതിയായ
భాగం,ഭാഗം,ഭാഗം
అణగిపోయి,അണഗിപോയി,വിഷാദത്തിലാകാൻ
వుంటే,വുംടേ,ഉണ്ടെങ്കിൽ
పురోగరి,പുരോഗരി,പുരോഗതി
లేదని,ലേദനി,ഇല്ല
అందరూ,അംദരൂ,എല്ലാവരും
గ్రహిస్తున్నారు,ഗ്രഹിസ്തുന്നാരു,സാക്ഷപ്പെടുത്തല്
ఈ,ഈ,ഈ
రోజు,രോജു,ദിവസം
అన్ని,അന്നി,എല്ലാം
రంగాలలో,രംഗാലലോ,വയലുകളിൽ
స్తీలు,സ്തീലു,നിശ്ചലമായ
ముందుంటున్నారు,മുംദുംടുന്നാരു,മുന്പിലത്തേതായ
ఐాధ్యతా,ഐാധ്യതാ,ഐയതി
రహితంగా,രഹിതംഗാ,ഇതിനുപകരമായി
ప్రవర్తించే,പ്രവര്തിംചേ,പെരുമാറുക
భర్తల,ഭര്തല,ഭർത്താക്കന്മാർ
కారణంగా,കാരണംഗാ,കാരണം
సంసారాలు,സംസാരാലു,എന്തുതന്നെയായാലും
నాశనం,നാശനം,നശിപ്പിക്കുക
కాకుండా,കാകുംഡാ,അതിലും കൂടുതൽ
రక్షించుకోవడం,രക്ഷിംചുകോവഡം,പരിരക്ഷിക്കാൻ
దగ్గర్నుండి,ദഗ്ഗര്നുംഡി,അടയ്ക്കുന്നതിൽ നിന്ന്
న్నత,ന്നത,......
స్థాయిలో,സ്ഥായിലോ,തലത്തിൽ
"ఉద్యోగాలు,","ഉദ്യോഗാലു,","ജോലികൾ,"
జాతీయ,ജാതീയ,ദേശീയം
అంతర్జాతీయ,അംതര്ജാതീയ,അന്തര്ദ്ദേശീയമായ
స్థాయిల్లో,സ്ഥായില്ലോ,തലങ്ങളിൽ
కీలక,കീലക,താക്കോല്
"పాత్రలు,","പാത്രലു,","റോളുകൾ,"
అంతరిక్షంలో,അംതരിക്ഷംലോ,ബഹിരാകാശത്ത്
ప్రయోగాలు,പ്രയോഗാലു,പരീക്ഷണങ്ങൾ
నిర్వహించడం,നിര്വഹിംചഡം,പരിപാലിക്കുക
వరకూ,വരകൂ,വരെ
ఇందుకలదందులేదని,ഇംദുകലദംദുലേദനി,അത്തരമൊരു കാര്യമില്ല
సందేహము,സംദേഹമു,സംശയം
వలదు,വലദു,ഇല്ല
అన్నట్లు,അന്നട്ലു,അതായത്
స్తీ,സ്തീ,എസ്ടി
శక్తి,ശക്തി,ശക്തി
ప్రాధాన్యత,പ്രാധാന്യത,മുന്ഗണന
కనబడుతూనే,കനബഡുതൂനേ,അധികകൂറ
వుంది:,വുംദി:,ഇതാണ്:
అటువంటి,അടുവംടി,അങ്ങനെയായ
శక్తి,ശക്തി,ശക്തി
స్వరూపిణి,സ്വരൂപിണി,രൂപത
జన్మించి,ജന്മിംചി,ജനിച്ച
అమ్మాయిగా,അമ്മായിഗാ,ഒരു പെൺകുട്ടിയെന്ന നിലയിൽ
ఎదిగి;,എദിഗി;,വളർന്നുകൊണ്ടിരിക്കുന്ന;
"అమ్మగామారి,","അമ്മഗാമാരി,","സെയിൽസ്മാൻ,"
అమ్మమ్మ,അമ്മമ്മ,മാതാമഹി
(మామ్మ),(മാമ്മ),(മമ്മ)
అయ్యేవరకూ,അയ്യേവരകൂ,അത് മാറുന്നതുവരെ
వివిధ,വിവിധ,വതസ്തമായ
దశలలో,ദശലലോ,ഘട്ടങ്ങളിൽ
అవసరమయ్యే,അവസരമയ്യേ,ആവശത്തിലുള്ള
"పోషణ,","പോഷണ,","പോഷകാഹാരം,"
రక్షణ;,രക്ഷണ;,സംരക്ഷണം;
సమస్యలు,സമസ്യലു,പ്രശ്നങ്ങൾ
పిషార్రాలు;,പിഷാര്രാലു;,പിസാറുകൾ;
మానసిక,മാനസിക,മാനസികമായ
పరిణతి,പരിണതി,പകമായ
కలగడానికి,കലഗഡാനികി,സ്വപ്നം കാണാൻ
ఒత్తిడి,ഒത്തിഡി,സമ്മര്ദ്ദം
తగ్గించుకోవడానికి,തഗ്ഗിംചുകോവഡാനികി,കുറയ്ക്കുന്നതിന്
సూచనలతో,സൂചനലതോ,നിർദ്ദേശങ്ങൾക്കൊപ്പം
6,6,6
ఆడవారికి,ആഡവാരികി,സ്ത്രീകൾക്ക്
అన్నివేళలా,അന്നിവേളലാ,എല്ലായിപ്പോഴും
ఆప్తమిత్రురాలి,ആപ്തമിത്രുരാലി,ആപ്തമിത്ര
వుండే,വുംഡേ,ആകാൻ
పుస్తకాన్ని,പുസ്തകാന്നി,പുസ്തകം
అందించాలనే,അംദിംചാലനേ,നൽകാൻ
"డా""గాయత్రీదేవి","ഡാ""ഗായത്രീദേവി","Da ""ഗായത്രി ദേവി"
గారి,ഗാരി,ഗാരി
ప్రయత్న,പ്രയത്ന,ശ്രമിച്ചു
ఫలితమే,ഫലിതമേ,ഫലം
ఆరోగ్య,ആരോഗ്യ,ആരോഗം
ఆరోగ్య,ആരോഗ്യ,ആരോഗം
:,:,:
