Input Word,Target Transliteration,Tamil Meaning
పరమాత్ముడు,பரமாத்முடு,உச்சநிலை
పురుషులిద్దరినీ,புருஷுலித்தரிநீ,இருவரும்
సమానంగా,ஸமாநம்கா,சமமாக
సృష్టిస్తూ,ஸ்ரு'ஷ்டிஸ்தூ,உருவாக்குதல்
పవిత్రమయిన,பவித்ரமயிந,புனிதமான
సృష్టి,ஸ்ரு'ஷ்டி,உருவாக்கம்
కార్యక్రమాన్ని,கார்யக்ரமாந்நி,திட்டம்
నిర్వహించే,நிர்வஹிம்சே,நிர்வகிக்கப்பட்டது
శక్తిని,ஶக்திநி,சக்தி
స్తీలో,ஸ்தீலோ,ஸ்டீயில்
నిక్షిప్తం,நிக்ஷிப்தம்,சேமிப்பு
చేశాడు,சேஶாடு,அதைச் செய்தது
మగవాడు,மகவாடு,ஆண்
స్వార్ధంతో,ஸ்வார்தம்தோ,சுயநலத்துடன்
స్ర్తీలోని,ஸ்ர்தீலோநி,Stti இல்
అన్ని,அந்நி,எல்லாம்
శక్తులనూ,ஶக்துலநூ,படைகள்
అణగగొట్టి,அணககொட்டி,ஒடுக்கப்பட்ட
ఆమెను,ஆமெநு,அவள்
పిల్లల్ని,பில்லல்நி,குழந்தைகள்
కనే,கநே,கேன்
"యంఠ్రంలా,","யம்ட்ரம்லா,","மெத்தையின் முகத்தில் உள்ளன,"
జీరం,ஜீரம்,ஜீராம்
లేని,லேநி,இல்லாமல்
పనిమనిషిలా;,பநிமநிஷிலா;,ஒரு பணிப்பெண்;
తన,தந,அவனுடைய
'అవసరానికి','அவஸராநிகி','தேவைக்கு'
సృష్టించబడిన,ஸ்ரு'ஷ்டிம்சபடிந,உருவாக்கப்பட்டது
ఒక,ஒக,A
వస్తువులా,வஸ்துவுலா,பொருள் போல
మలచుకున్నాడు,மலசுகுந்நாடு,பிட்
కాలం,காலம்,காலம்
మారింది,மாரிம்தி,மாறிவிட்டது
స్ర్తీ,ஸ்ர்தீ,ஸ்டுர்தி
శక్తికి,ஶக்திகி,அதிகாரத்திற்கு
గుర్తింపు,குர்திம்பு,அங்கீகாரம்
వచ్చే,வச்சே,வாருங்கள்
రోజులు,ரோஜுலு,நாட்கள்
వచ్చాయి:,வச்சாயி:,வந்துள்ளது:
అర్ధ,அர்த,பாதி
భాగం,பாகம்,பகுதி
అణగిపోయి,அணகிபோயி,மனச்சோர்வடைய வேண்டும்
వుంటే,வும்டே,இருந்தால்
పురోగరి,புரோகரி,முன்னேற்றம்
లేదని,லேதநி,இல்லை
అందరూ,அம்தரூ,எல்லோரும்
గ్రహిస్తున్నారు,க்ரஹிஸ்துந்நாரு,உணர்ந்துகொள்வது
ఈ,ஈ,இது
రోజు,ரோஜு,நாள்
అన్ని,அந்நி,எல்லாம்
రంగాలలో,ரம்காலலோ,வயல்களில்
స్తీలు,ஸ்தீலு,இன்னும்
ముందుంటున్నారు,மும்தும்டுந்நாரு,முந்தைய
ఐాధ్యతా,ஐாத்யதா,ஐடாதா
రహితంగా,ரஹிதம்கா,சுதந்திரமாக
ప్రవర్తించే,ப்ரவர்திம்சே,நடந்து கொள்ளுங்கள்
భర్తల,பர்தல,கணவர்கள்
కారణంగా,காரணம்கா,காரணமாக
సంసారాలు,ஸம்ஸாராலு,எதுவாக இருந்தாலும்
నాశనం,நாஶநம்,அழிக்கவும்
కాకుండా,காகும்டா,விட
రక్షించుకోవడం,ரக்ஷிம்சுகோவடம்,பாதுகாக்க
దగ్గర్నుండి,தக்கர்நும்டி,நெருக்கமாக இருந்து
న్నత,ந்நத,.......
స్థాయిలో,ஸ்தாயிலோ,மட்டத்தில்
"ఉద్యోగాలు,","உத்யோகாலு,","வேலைகள்,"
జాతీయ,ஜாதீய,தேசிய
అంతర్జాతీయ,அம்தர்ஜாதீய,சர்வதேச
స్థాయిల్లో,ஸ்தாயில்லோ,நிலைகளில்
కీలక,கீலக,விசை
"పాత్రలు,","பாத்ரலு,","பாத்திரங்கள்,"
అంతరిక్షంలో,அம்தரிக்ஷம்லோ,விண்வெளியில்
ప్రయోగాలు,ப்ரயோகாலு,சோதனைகள்
నిర్వహించడం,நிர்வஹிம்சடம்,பராமரித்தல்
వరకూ,வரகூ,வரை
ఇందుకలదందులేదని,இம்துகலதம்துலேதநி,அப்படி எதுவும் இல்லை
సందేహము,ஸம்தேஹமு,சந்தேகம்
వలదు,வலது,இல்லை
అన్నట్లు,அந்நட்லு,அதாவது
స్తీ,ஸ்தீ,ஸ்டை
శక్తి,ஶக்தி,சக்தி
ప్రాధాన్యత,ப்ராதாந்யத,முன்னுரிமை
కనబడుతూనే,கநபடுதூநே,அதிகப்படியான
వుంది:,வும்தி:,உள்ளது:
అటువంటి,அடுவம்டி,அத்தகைய
శక్తి,ஶக்தி,சக்தி
స్వరూపిణి,ஸ்வரூபிணி,உருவகம்
జన్మించి,ஜந்மிம்சி,பிறப்பு
అమ్మాయిగా,அம்மாயிகா,ஒரு பெண்ணாக
ఎదిగి;,எதிகி;,வளர்ந்து வருகிறது;
"అమ్మగామారి,","அம்மகாமாரி,","விற்பனையாளர்,"
అమ్మమ్మ,அம்மம்ம,பாட்டி
(మామ్మ),(மாம்ம),(மம்மா)
అయ్యేవరకూ,அய்யேவரகூ,அது மாறும் வரை
వివిధ,விவித,வேறு
దశలలో,தஶலலோ,படிகளில்
అవసరమయ్యే,அவஸரமய்யே,தேவை
"పోషణ,","போஷண,","ஊட்டச்சத்து,"
రక్షణ;,ரக்ஷண;,பாதுகாப்பு;
సమస్యలు,ஸமஸ்யலு,சிக்கல்கள்
పిషార్రాలు;,பிஷார்ராலு;,பிசார்;
మానసిక,மாநஸிக,மன
పరిణతి,பரிணதி,முதிர்ந்த
కలగడానికి,கலகடாநிகி,கனவு காண
ఒత్తిడి,ஒத்திடி,மன அழுத்தம்
తగ్గించుకోవడానికి,தக்கிம்சுகோவடாநிகி,குறைக்க
సూచనలతో,ஸூசநலதோ,வழிமுறைகளுடன்
6,6,.
ఆడవారికి,ஆடவாரிகி,பெண்களுக்கு
అన్నివేళలా,அந்நிவேளலா,எப்போதும்
ఆప్తమిత్రురాలి,ஆப்தமித்ருராலி,அப்தாமித்ரா
వుండే,வும்டே,இருக்க வேண்டும்
పుస్తకాన్ని,புஸ்தகாந்நி,புத்தகம்
అందించాలనే,அம்திம்சாலநே,வழங்க
"డా""గాయత్రీదేవి","டா""காயத்ரீதேவி",டா “காயத்ரி தேவி
గారి,காரி,கேரி
ప్రయత్న,ப்ரயத்ந,முயற்சித்தது
ఫలితమే,பலிதமே,இதன் விளைவாக
ఆరోగ్య,ஆரோக்ய,ஆரோக்கியம்
ఆరోగ్య,ஆரோக்ய,ஆரோக்கியம்
:,:,:
