Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
పరమాత్ముడు,പരമാത്മുഡു,പരമമായത്,paramātmuḍu,The Supreme Being
పురుషులిద్దరినీ,പുരുഷുലിദ്ദരിനീ,രണ്ടും,puruṣuliddarinī,Both men
సమానంగా,സമാനംഗാ,ഒരുപോലെ,samānaṃgā,Equally
సృష్టిస్తూ,സൃഷ്ടിസ്തൂ,സൃഷ്ടിക്കുന്നു,sṛṣṭistū,Creating
పవిత్రమయిన,പവിത്രമയിന,പവിത്രമായത്,pavitramayina,The sacred
సృష్టి,സൃഷ്ടി,സൃഷ്ടി,sṛṣṭi,Creation
కార్యక్రమాన్ని,കാര്യക്രമാന്നി,കാരപരിപാടി,kāryakramānni,Program
నిర్వహించే,നിര്വഹിംചേ,ചുറ്റിനടന്നത്,nirvahiṃce,Managed
శక్తిని,ശക്തിനി,ശക്തി,śaktini,Power
స్తీలో,സ്തീലോ,സ്റ്റൈലിൽ,stīlo,In the stie
నిక్షిప్తం,നിക്ഷിപ്തം,ശേഖരണം,nikṣiptaṃ,Storage
చేశాడు,ചേശാഡു,അതു ചെയ്തു,ceśāḍu,Did it
మగవాడు,മഗവാഡു,പുരുഷന്,magavāḍu,Male
స్వార్ధంతో,സ്വാര്ധംതോ,സ്വാർത്ഥതയോടെ,svārdhaṃto,With selfishness
స్ర్తీలోని,സ്ര്തീലോനി,Stti- ൽ,srtīloni,In the stti
అన్ని,അന്നി,എല്ലാം,anni,All
శక్తులనూ,ശക്തുലനൂ,സേന,śaktulanū,The forces
అణగగొట్టి,അണഗഗൊട്ടി,അടിച്ചമർത്തപ്പെട്ടു,aṇagagòṭṭi,Oppressed
ఆమెను,ആമെനു,അവള്,āmènu,Her
పిల్లల్ని,പില്ലല്നി,കുട്ടികൾ,pillalni,Children
కనే,കനേ,കെയ്,kane,Kane
"యంఠ్రంలా,","യംഠ്രംലാ,","കട്ടിൽ മുഖത്ത് ഉണ്ട്,","yaṃṭhraṃlā,","Are in the face of the mattress,"
జీరం,ജീരം,ജീരാം,jīraṃ,Jeeram
లేని,ലേനി,കൂടാതെ,leni,Without
పనిమనిషిలా;,പനിമനിഷിലാ;,ഒരു വേലക്കാരി;,panimaniṣilā;,A maid;
తన,തന,അവന്റെ,tana,His
'అవసరానికి','അവസരാനികി','ആവശ്യത്തിനായി','avasarāniki','For the need'
సృష్టించబడిన,സൃഷ്ടിംചബഡിന,സൃഷ്ടിച്ചു,sṛṣṭiṃcabaḍina,Created
ఒక,ഒക,ഒരു,òka,A
వస్తువులా,വസ്തുവുലാ,ഒബ്ജക്റ്റ് പോലെ,vastuvulā,Like the object
మలచుకున్నాడు,മലചുകുന്നാഡു,പിടിച്ചു,malacukunnāḍu,Holded
కాలం,കാലം,കാലഘട്ടം,kālaṃ,Period
మారింది,മാരിംദി,മാറി,māriṃdi,Have changed
స్ర్తీ,സ്ര്തീ,സ്റ്റർട്ടി,srtī,Sturti
శక్తికి,ശക്തികി,അധികാരത്തിലേക്ക്,śaktiki,To power
గుర్తింపు,ഗുര്തിംപു,തിരിച്ചറിയല്,gurtiṃpu,Recognition
వచ్చే,വച്ചേ,വരിക,vacce,Come on
రోజులు,രോജുലു,ദിവസങ്ങൾ,rojulu,Days
వచ్చాయి:,വച്ചായി:,എത്തിയിരിക്കുന്നു:,vaccāyi:,Have arrived:
అర్ధ,അര്ധ,പകുതിയായ,ardha,Half
భాగం,ഭാഗം,ഭാഗം,bhāgaṃ,Part
అణగిపోయి,അണഗിപോയി,വിഷാദത്തിലാകാൻ,aṇagipoyi,To be depressed
వుంటే,വുംടേ,ഉണ്ടെങ്കിൽ,vuṃṭe,If there is
పురోగరి,പുരോഗരി,പുരോഗതി,purogari,Progress
లేదని,ലേദനി,ഇല്ല,ledani,There is no
అందరూ,അംദരൂ,എല്ലാവരും,aṃdarū,Everyone
గ్రహిస్తున్నారు,ഗ്രഹിസ്തുന്നാരു,സാക്ഷപ്പെടുത്തല്,grahistunnāru,Realizing
ఈ,ഈ,ഇതാണ്,ī,This
రోజు,രോജു,ദിവസം,roju,The day
అన్ని,അന്നി,എല്ലാം,anni,All
రంగాలలో,രംഗാലലോ,വയലുകളിൽ,raṃgālalo,In the fields
స్తీలు,സ്തീലു,നിശ്ചലമായ,stīlu,Still
ముందుంటున్నారు,മുംദുംടുന്നാരു,മുന്പിലത്തേതായ,muṃduṃṭunnāru,Previous
ఐాధ్యతా,ഐാധ്യതാ,ഐയതി,aiādhyatā,Iidatha
రహితంగా,രഹിതംഗാ,സതമാം,rahitaṃgā,Instead of
ప్రవర్తించే,പ്രവര്തിംചേ,പെരുമാറുക,pravartiṃce,Behave
భర్తల,ഭര്തല,ഭർത്താക്കന്മാർ,bhartala,Husbands
కారణంగా,കാരണംഗാ,കാരണം,kāraṇaṃgā,Due to
సంసారాలు,സംസാരാലു,എന്തുതന്നെയായാലും,saṃsārālu,Whatever
నాశనం,നാശനം,നശിപ്പിക്കുക,nāśanaṃ,Destroy
కాకుండా,കാകുംഡാ,അതിലും കൂടുതൽ,kākuṃḍā,Rather than
రక్షించుకోవడం,രക്ഷിംചുകോവഡം,പരിരക്ഷിക്കാൻ,rakṣiṃcukovaḍaṃ,To protect
దగ్గర్నుండి,ദഗ്ഗര്നുംഡി,അടയ്ക്കുന്നതിൽ നിന്ന്,daggarnuṃḍi,From close
న్నత,ന്നത,.......,nnata,.......
స్థాయిలో,സ്ഥായിലോ,തലത്തിൽ,sthāyilo,At the level
"ఉద్యోగాలు,","ഉദ്യോഗാലു,","ജോലികൾ,","udyogālu,","Jobs,"
జాతీయ,ജാതീയ,ദേശീയം,jātīya,National
అంతర్జాతీయ,അംതര്ജാതീയ,അന്തര്ദ്ദേശീയമായ,aṃtarjātīya,International
స్థాయిల్లో,സ്ഥായില്ലോ,തലങ്ങളിൽ,sthāyillo,At levels
కీలక,കീലക,താക്കോല്,kīlaka,Key
"పాత్రలు,","പാത്രലു,","റോളുകൾ,","pātralu,","Roles,"
అంతరిక్షంలో,അംതരിക്ഷംലോ,ബഹിരാകാശത്ത്,aṃtarikṣaṃlo,In space
ప్రయోగాలు,പ്രയോഗാലു,പരീക്ഷണങ്ങൾ,prayogālu,Experiments
నిర్వహించడం,നിര്വഹിംചഡം,പരിപാലിക്കുക,nirvahiṃcaḍaṃ,Maintaining
వరకూ,വരകൂ,വരെ,varakū,Up to
ఇందుకలదందులేదని,ഇംദുകലദംദുലേദനി,അത്തരമൊരു കാര്യമില്ല,iṃdukaladaṃduledani,There is no such thing
సందేహము,സംദേഹമു,സംശയം,saṃdehamu,Doubt
వలదు,വലദു,ഇല്ല,valadu,Does not
అన్నట్లు,അന്നട്ലു,അതായത്,annaṭlu,That is
స్తీ,സ്തീ,എസ്ടി,stī,Sti
శక్తి,ശക്തി,ശക്തി,śakti,Power
ప్రాధాన్యత,പ്രാധാന്യത,മുന്ഗണന,prādhānyata,Priority
కనబడుతూనే,കനബഡുതൂനേ,അധികകൂറ,kanabaḍutūne,Excessively
వుంది:,വുംദി:,ഇതാണ്:,vuṃdi:,Has been:
అటువంటి,അടുവംടി,അങ്ങനെയായ,aṭuvaṃṭi,Such
శక్తి,ശക്തി,ശക്തി,śakti,Power
స్వరూపిణి,സ്വരൂപിണി,രൂപത,svarūpiṇi,The embodiment
జన్మించి,ജന്മിംചി,ജനിച്ച,janmiṃci,Born
అమ్మాయిగా,അമ്മായിഗാ,ഒരു പെൺകുട്ടിയെന്ന നിലയിൽ,ammāyigā,As a girl
ఎదిగి;,എദിഗി;,വളർന്നുകൊണ്ടിരിക്കുന്ന;,èdigi;,Growing up;
"అమ్మగామారి,","അമ്മഗാമാരി,","സെയിൽസ്മാൻ,","ammagāmāri,","The salesman,"
అమ్మమ్మ,അമ്മമ്മ,മാതാമഹി,ammamma,Grandmother
(మామ్మ),(മാമ്മ),(മമ്മ),(māmma),(Mamma)
అయ్యేవరకూ,അയ്യേവരകൂ,അത് മാറുന്നതുവരെ,ayyevarakū,Until it becomes
వివిధ,വിവിധ,വതസ്തമായ,vividha,Different
దశలలో,ദശലലോ,ഘട്ടങ്ങളിൽ,daśalalo,In steps
అవసరమయ్యే,അവസരമയ്യേ,ആവശത്തിലുള്ള,avasaramayye,Needed
"పోషణ,","പോഷണ,","പോഷകാഹാരം,","poṣaṇa,","Nutrition,"
రక్షణ;,രക്ഷണ;,സംരക്ഷണം;,rakṣaṇa;,Protection;
సమస్యలు,സമസ്യലു,പ്രശ്നങ്ങൾ,samasyalu,Problems
పిషార్రాలు;,പിഷാര്രാലു;,പിസാറുകൾ;,piṣārrālu;,Pisars;
మానసిక,മാനസിക,മാനസികമായ,mānasika,Mental
పరిణతి,പരിണതി,പകമായ,pariṇati,Mature
కలగడానికి,കലഗഡാനികി,സ്വപ്നം കാണാൻ,kalagaḍāniki,To dream
ఒత్తిడి,ഒത്തിഡി,സമ്മര്ദ്ദം,òttiḍi,Stress
తగ్గించుకోవడానికి,തഗ്ഗിംചുകോവഡാനികി,കുറയ്ക്കുന്നതിന്,taggiṃcukovaḍāniki,To reduce
సూచనలతో,സൂചനലതോ,നിർദ്ദേശങ്ങൾക്കൊപ്പം,sūcanalato,With instructions
6,6,6,6,౬
ఆడవారికి,ആഡവാരികി,സ്ത്രീകൾക്ക്,āḍavāriki,For females
అన్నివేళలా,അന്നിവേളലാ,എല്ലായിപ്പോഴും,anniveḻalā,Always
ఆప్తమిత్రురాలి,ആപ്തമിത്രുരാലി,ആപ്തമിത്ര,āptamitrurāli,Aptamitra
వుండే,വുംഡേ,ആകാൻ,vuṃḍe,To be
పుస్తకాన్ని,പുസ്തകാന്നി,പുസ്തകം,pustakānni,The book
అందించాలనే,അംദിംചാലനേ,നൽകാൻ,aṃdiṃcālane,To provide
"డా""గాయత్రీదేవి","ഡാ""ഗായത്രീദേവി","Da ""ഗായത്രി ദേവി","ḍā""gāyatrīdevi",Da “Gayatri Devi
గారి,ഗാരി,ഗാരി,gāri,Gary
ప్రయత్న,പ്രയത്ന,ശ്രമിച്ചു,prayatna,Attempted
ఫలితమే,ഫലിതമേ,ഫലം,phalitame,The result is
ఆరోగ్య,ആരോഗ്യ,ആരോഗം,ārogya,Health
ఆరోగ్య,ആരോഗ്യ,ആരോഗം,ārogya,Health
:,:,:,:,:
